社会科学方法论,202020212040280000104,1-17周 星期一 第9-10节 汇文楼H1-504,"符阳"
社会科学方法论,202020212040280000105,1-17周 星期三 第9-10节 汇文楼H2-502,"柯年满"
社会科学方法论,202020212040280000106,1-17周 星期五 第7-8节 汇文楼H1-202,"吴进进"
社会科学方法论,202020212040280000107,None,"吴进进"
社会科学方法论,202020212040280000108,1-17周 星期三 第7-8节 汇文楼H3-403,"刘筱"
社会科学方法论,202020212040280000109,1-17周 星期三 第9-10节 汇文楼H1-403,"刘筱"
WTO法律制度,202020212030001000101,1-17周 星期三 第1-2节 汇文楼H2-202,"肖又贤"
常微分方程,202020212190015000101,1-18周(单) 星期一 第3-4节 汇紫楼B211,1-17周 星期三 第7-8节 汇紫楼B211,"胡鹏彦"
常微分方程,202020212190015000102,1-17周 星期一 第3-5节 汇紫楼B313,"邹玉茹"
常微分方程,202020212190015000103,1-18周(单) 星期一 第1-2节 汇紫楼B211,1-17周 星期三 第9-10节 汇紫楼B211,"胡鹏彦"
常微分方程,202020212190015000104,1-17周 星期三 第6-8节 汇紫楼C309,"翟小平"
运动生理学,202020212060190000101,1-17周 星期五 第3-4节 汇文楼H1-101,"阳承胜"
基础工程,202020212090112000101,1-17周 星期三 第7-8节 致理楼L2-103,"包小华"
基础工程,202020212090112000102,1-17周 星期三 第7-8节 致理楼L2-107,"郭峻"
基础工程,202020212090112000103,1-17周 星期二 第7-8节 致理楼L2-103,"洪成雨"
基础工程,202020212090112000104,1-17周 星期四 第7-8节 致理楼L3-413,"洪成雨"
电路分析,202020212130035000101,1-17周 星期三 第7-8节 致理楼L1-306,2-16周(双) 星期五 第7-8节 南区信工学院N101,1-18周(单) 星期五 第7-8节 致理楼L3-311,"李霞"
电路分析,202020212130035000102,1-17周 星期三 第6-8节 致理楼L3-309,2-16周(双) 星期三 第9-10节 南区信工学院N101,"初萍"
电路分析,202020212130035000103,2-16周(双) 星期五 第9-10节 南区信工学院N101,1-17周 星期三 第7-8节 致理楼L3-409,1-18周(单) 星期五 第9-10节 致理楼L3-409,"廉德亮"
电路分析,202020212130035000104,1-17周 星期一 第9-10节 致理楼L3-316,2-16周(双) 星期三 第7-8节 南区信工学院N101,1-18周(单) 星期三 第7-8节 致理楼L3-317,"吴迪"
电路分析,202020212130035000105,2-16周(双) 星期三 第9-10节 致理楼L3-409,1-17周 星期一 第9-10节 致理楼L3-409,1-18周(单) 星期三 第9-10节 南区信工学院N101,"廉德亮"
电路分析,202020212130035000106,1-17周 星期一 第9-10节 致理楼L3-317,2-16周(双) 星期四 第9-10节 致理楼L3-317,1-18周(单) 星期四 第9-10节 南区信工学院N101,"李晓滨"
电路分析,202020212130035000107,1-17周 星期一 第9-10节 致理楼L3-414,1-18周(单) 星期三 第7-8节 南区信工学院N101,2-16周(双) 星期三 第7-8节 致理楼L3-414,"罗雪晖"
电路分析,202020212130035000108,1-17周 星期一 第9-10节 致理楼L3-312,2-16周(双) 星期四 第7-8节 致理楼L3-312,1-18周(单) 星期四 第7-8节 南区信工学院N101,"李强"
公文写作,202020212040786000102,1-17周 星期二 第7-8节 汇文楼H1-403,"曾锡环"
公文写作,202020212040786000103,1-17周 星期二 第3-4节 汇文楼H1-403,"曾锡环"
常用法律文书写作,202020212030273000101,1-17周 星期二 第13-14节 汇文楼H1-204,"刘飙"
常用法律文书写作,202020212030273000102,1-17周 星期二 第11-12节 汇文楼H1-204,"刘飙"
城市交通地理,202020212090324000101,1-17周 星期二 第7-8节 致理楼L3-312,"张博琛"
城市交通地理,202020212090324000102,1-17周 星期二 第3-4节 致理楼L2-408,"张博琛"
司法社会工作,202020212240080000101,1-17周 星期二 第3-4节 致理楼L1-201,"李晓凤"
工程项目管理,202020212090088000201,1-17周 星期五 第8-10节 致理楼L3-313,"牛永宁,刘建"
工程项目管理,202020212090088000202,1-17周 星期五 第11-13节 致理楼L3-311,"牛永宁,刘建"
激光技术与器件,202020212160066000101,1-17周 星期五 第6-8节 致理楼L1-211,"YATAO YANG"
通信网络与技术概论,202020212130208000201,1-17周 星期四 第3-5节 致理楼L3-315,"张志朋"
通信网络与技术概论,202020212130208000202,1-17周 星期二 第6-8节 致理楼L3-315,"王兰"
公共经济学,202020212040777000101,1-17周 星期四 第3-4节 汇文楼H3-503,"梁雨晴"
公共经济学,202020212040777000102,1-17周 星期四 第7-8节 汇文楼H3-303,"梁雨晴"
房地产金融,2020202120911000201,1-17周 星期二 第7-8节 致理楼L3-411,"莫力科"
房地产金融,2020202120911000202,1-17周 星期二 第9-10节 致理楼L3-416,"莫力科"
建筑工业化与数字化管理,202020212090361000101,1-17周 星期一 第9-10节 致理楼L2-105,"吴泽洲"
会计学原理,202020212040858000101,1-17周 星期二 第7-8节 汇文楼H-01,"叶一娇"
微观经济学,202020212040314000101,1-17周 星期三 第6-8节 汇文楼H2-201,"马建华"
微观经济学,202020212040314000102,1-17周 星期一 第3-5节 汇文楼H1-305,"马建华"
微观经济学,202020212040314000103,1-17周 星期四 第3-5节 汇文楼H2-201,"丁凡"
微观经济学,202020212040314000104,1-17周 星期四 第3-5节 汇文楼H2-303,"甘小冰"
微观经济学,202020212040314000105,1-17周 星期五 第3-5节 汇文楼H1-204,"甘小冰"
微观经济学,202020212040314000109,1-17周 星期五 第3-5节 汇文楼H1-202,"陈雪"
微观经济学,202020212040314000110,1-17周 星期一 第11-13节 汇文楼H1-303,"张多中"
微观经济学,202020212040314000111,1-17周 星期四 第3-5节 汇文楼H1-305,"罗文恩"
微观经济学,202020212040314000112,1-17周 星期三 第6-8节 汇文楼H2-301,"罗文恩"
组织行为学,202020212040404000101,1-17周 星期三 第6-8节 汇文楼H1-205,"金元吉"
组织行为学,202020212040404000102,1-17周 星期三 第3-4节 汇文楼H2-303,1-18周(单) 星期四 第7-8节 汇文楼H2-303,"金元吉"
组织行为学,202020212040404000103,1-17周 星期四 第6-8节 汇文楼H2-201,"丁夏齐"
组织行为学,202020212040404000104,1-17周 星期一 第3-5节 汇文楼H1-105,"王忠"
组织行为学,202020212040404000105,1-17周 星期五 第3-5节 汇文楼H2-201,"丁夏齐"
组织行为学,202020212040404000106,1-17周 星期三 第3-5节 汇文楼H1-202,"王忠"
组织行为学,202020212040404000107,1-17周 星期三 第6-8节 汇文楼H1-104,"马欣川"
组织行为学,202020212040404000108,1-17周 星期四 第6-8节 汇文楼H1-204,"王荣"
组织行为学,202020212040404000109,1-17周 星期二 第3-5节 汇文楼H1-102,"马卫红"
组织行为学,202020212040404000110,1-17周 星期二 9-10节 汇文楼H1-502,2-16周(双) 星期一 11-12节 汇文楼H1-502,"马卫红"
神经营销学,202020212040805000101,1-17周 星期三 第11-12节 汇文楼H1-105,"桂丹阳"
神经营销学,202020212040805000102,1-17周 星期三 第13-14节 汇文楼H1-105,"桂丹阳"
西方美学名著导读,202020212010300000101,1-17周 星期一 第11-12节 汇文楼H2-202,"陈昊"
实变函数,202020212190199002701,1-17周 星期三 第3-4节 汇紫楼C305,1-18周(单) 星期五 第3-4节 汇紫楼C305,"胡自胜"
实变函数,202020212190199002702,1-17周 星期三 第1-2节 汇紫楼C411,1-18周(单) 星期五 第1-2节 汇紫楼C411,"胡自胜"
实变函数,202020212190199002703,1-17周 星期一 第6-8节 汇紫楼B313,"胡自胜"
投资组合管理,202020212190334000101,1-17周 星期四 第6-8节 汇紫楼A207,"蒋春福"
智能语音处理-理论、算法与实践,2020202122811000101,1-17周 星期三 第9-10节 南区信工学院N413,1-17周 星期五 第9-10节 致理楼L3-418,"郑能恒"
客户关系管理,202020212040192000101,1-17周 星期一 第3-4节 汇文楼H1-102,1-17周 星期一 第7-8节 汇文楼H6-401,"吴小灵"
客户关系管理,202020212040192000102,1-17周 星期二 第3-4节 汇文楼H1-104,1-17周 星期二 第7-8节 汇文楼H6-401,"吴小灵"
网站建设与管理,202020212040473000101,1-18周 星期四 第7-8节 汇文楼H3-404,"钱小虎"
网站建设与管理,202020212040473000102,1-18周 星期四 第9-10节 汇文楼H1-104,"钱小虎"
网站建设与管理,202020212040473000103,1-18周 星期四 第11-12节 汇文楼H1-202,"钱小虎"
创业学（国际班）,202020212041193000101,1-17周 星期一 第6-8节 汇文楼H1-101,"潘燕萍"
随机过程,202020212190207000101,1-17周 星期三 第1-2节 汇紫楼A207,2-16周(双) 星期五 第3-4节 汇紫楼A207,"蒋春福"
随机过程,202020212190207000102,1-17周 星期三 第3-4节 汇紫楼C311,2-16周(双) 星期五 第1-2节 汇紫楼C311,"蒋春福"
随机过程,202020212190207000103,1-17周 星期一 第7-8节 汇紫楼C411,2-16周(双) 星期三 第7-8节 汇紫楼C411,"董海玲"
随机过程,202020212190207000104,2-16周(双) 星期三 第3-4节 汇紫楼A205,1-17周 星期一 第3-4节 汇紫楼A205,"董海玲"
当代新儒学,202020212010061000101,1-17周 星期三 第11-12节 汇文楼H2-303,"冯骏豪"
当代新儒学,202020212010061000102,1-17周 星期一 第11-12节 汇文楼H3-505,"王顺然"
电路分析,202020212160029000101,1-17周 星期三 第7-8节 致理楼L1-411,1-17周 星期五 第7-8节 致理楼L1-411,"仇高新"
电路分析,202020212160029000102,1-17周 星期三 第9-10节 致理楼L3-508,1-17周 星期五 第9-10节 致理楼L3-508,"仇高新"
电路分析,202020212160029000103,1-17周 星期三 7-8节 致理楼L3-504,1-17周 星期五 7-8节 致理楼L3-504,"丁金妃,魏仕彪"
电路分析,202020212160029000104,1-17周 星期三 9-10节 致理楼L3-504,1-17周 星期五 9-10节 致理楼L3-504,"丁金妃,魏仕彪"
