异常心理学,202020212120791000201,1-17周 星期四 第6-8节 致理楼L1-409,"吴丹"
旅游学概论,202020212060060000101,1-17周 星期二 第3-4节 汇文楼H1-103,"李阳"
软件体系结构与设计模式,202020212150446000101,1-17周 星期二 第7-8节 致理楼L1-502,1-17周 星期二 第9-10节 南区计算机大楼325,"毛斐巧"
大数据分析,202020212130345000101,1-17周 星期二 第9-10节 致理楼L3-312,1-18周(单) 星期四 第7-8节 南区信工学院N607,"吴昊"
大数据分析,202020212130345000102,1-17周 星期三 第7-8节 致理楼L3-314,1-18周(单) 星期五 第7-8节 南区信工学院N607,"李元满"
明清史专题及史料学,202020212010771000101,1-17周 星期四 第11-12节 汇文楼H3-506,"张小也"
微机原理与接口技术,202020212190199003301,1-17周 星期三 第1-2节 汇紫楼C311,1-18周(单) 星期四 第1-2节 汇文楼H6-104,"郑海虹"
中国现代文学,202020212121121000201,3-20周 星期一 第7-8节 师院B411,"金春媛"
交通规划建模仿真,202020212090300000201,1-17周 星期三 第3-4节 致理楼L2-512,"朱家松"
法语（3）（二外）,202020212070630000101,1-17周 星期四 第9-10节 汇文楼H2-503,1-17周 星期二 第11-12节 汇文楼H2-503,"周家兴"
土木工程CAD,202020212090273000101,1-17周 星期四 第7-8节 致理楼L2-103,"周晓青"
土木工程CAD,202020212090273000102,1-17周 星期一 第9-10节 致理楼L3-314,"王卫仑"
土木工程CAD,202020212090273000103,1-17周 星期四 第9-10节 致理楼L2-105,"周晓青"
外国新闻史,202020212080368000101,1-17周 星期二 第3-4节 传播学院L7-203,"李明伟"
BIM及虚拟现实可视化技术实训,202020212090364000101,1-18周(单) 星期一 第7-8节 致理楼L2-408,1-17周 星期三 第9-10节 未排地点,"李政道,廖龙辉"
机器学习,202020212190376000101,1-17周 星期三 第9-10节 汇文楼H6-104,1-17周 星期三 第7-8节 汇紫楼C208,"王保华"
工业与工程测量,202020212100322000101,1-12周 星期五 3-5节 汇紫楼C208,"张德津"
城市规划案例评析,202020212100008000101,1-17周 星期三 第7-8节 建筑楼C205,"陈燕萍"
社会学概论,202020212040284000201,1-17周 星期一 第6-8节 汇文楼H2-201,"赵宇峰"
社会学概论,202020212040284000202,1-17周 星期二 第6-8节 汇文楼H1-304,"赵宇峰"
英美法导论,202020212030169000101,1-17周 星期一 第13-14节 汇文楼H2-203,"彭勃"
中国古代文学（魏晋南北朝文学）,202020212120902000201,1-17周 星期三 第7-8节 师院A409,"林训涛"
高等代数选讲,202020212190051000101,1-17周 星期二 第1-2节 汇紫楼C309,"陈冬梅"
居住建筑设计原理,202020212100226000101,1-9周 星期三 第7-8节 汇紫楼B209,"陈珊"
政治哲学研究,202020212010783000101,1-17周 星期一 第11-12节 汇文楼H2-304,"张以明"
市场营销学,202020212040297000201,1-17周 星期一 第3-5节 汇文楼H1-104,"韩巍"
市场营销学,202020212040297000202,1-17周 星期二 第6-8节 汇文楼H2-303,"韩巍"
宋词鉴赏,202020212010252000101,1-17周 星期一 第9-10节 汇文楼H3-505,"唐小华"
管理咨询,202020212040116000101,1-17周 星期五 第3-4节 汇文楼H2-402,"李彤"
物流与供应链管理,202020212040589000101,1-17周 星期一 第7-8节 汇文楼H3-404,"马利军"
物流与供应链管理,202020212040589000102,1-17周 星期一 第7-8节 汇文楼H3-503,"林美燕"
证券投资分析,202020212190243000101,1-17周 星期三 第11-12节 汇紫楼D414,1-17周 星期三 第13-13节 汇紫楼D414,"郭城铭"
商标法,202020212030286000101,1-17周 星期三 第3-4节 汇文楼H1-201,"戴文骐"
物流系统规划与设计,202020212090326000101,1-17周 星期四 第9-10节 致理楼L2-409,"薛召杰"
新闻工作坊（1）,202020212080628000101,1-17周 星期三 第3-3节 传播学院L7-510,1-17周 星期三 第4-4节 传播学院L7-510,"王琛"
新闻工作坊（1）,202020212080628000102,1-17周 星期三 第6-6节 传播学院L7-510,1-17周 星期三 第7-7节 传播学院L7-510,"王琛"
机器学习,202020212150463000101,1-17周 星期五 第1-2节 致理楼L1-502,1-17周 星期五 第3-4节 南区计算机大楼318,"赖志辉"
企业伦理,202020212040836000101,1-17周 星期三 第1-2节 汇文楼H1-101,"肖俊"
企业伦理,202020212040836000102,1-17周 星期三 第3-4节 汇文楼H1-505,"肖俊"
比较政治与行政,202020212040767000101,1-17周 星期二 第9-10节 汇文楼H1-403,"李淑飞"
比较政治与行政,202020212040767000102,1-17周 星期二 第7-8节 汇文楼H3-304,"李淑飞"
机器学习,202020212100326000101,1-17周 星期一 第3-4节 汇紫楼A207,"陆旻"
Matlab程序设计,202020212190329000101,1-17周 星期三 第1-2节 汇紫楼D414,"刘强,陈志敏"
景观规划与生态修复（双语）,202020212100238000101,1-17周 星期二 第7-8节 建筑楼C201,"李相逸"
仲裁法学,2020202120311000101,5周,10周,14周 星期日 第11-12节 汇文楼H1-104,"王千华"
仲裁法学,2020202120311000102,5周,10周,14周 星期日 第13-14节 汇文楼H1-104,"王千华"
DSP系统设计,202020212130007000101,1-17周 星期一 第7-8节 南区信工学院N412,1-18周(单) 星期四 第9-10节 南区信工学院N412,"严新民"
DSP系统设计,202020212130007000102,1-17周 星期一 第9-10节 南区信工学院N412,1-18周(单) 星期四 第7-8节 南区信工学院N412,"严新民"
文化市场营销,202020212040580000101,1-17周 星期五 第3-4节 汇文楼H2-401,"韦夏"
人力资源管理热点研讨,202020212040837000101,1-17周 星期四 第3-4节 汇文楼H-01,"丁夏齐"
新闻评论,202020212080316000101,1-17周 星期一 第9-10节 传播学院L7-302,"刘劲松"
高等几何,202020212190053000101,1-17周 星期二 第9-10节 汇紫楼C309,1-17周 星期四 第1-2节 汇紫楼C309,"罗建坤"
尼采思想研究,202020212010699000101,1-17周 星期一 第11-12节 汇文楼H2-204,"杨茂明"
程序设计与算法语言,202020212190199000901,1-18周(单) 星期四 第7-8节 汇紫楼A210,1-17周 星期五 第7-8节 汇紫楼A210,1-17周 星期五 第9-10节 汇文楼H6-104,"王保华"
高尔夫历史与文化,202020212060025000101,1-17周 星期二 第3-4节 汇文楼H3-103,"张晓春"
数字电子技术实验,202020212160033000203,1-12周 星期四 第3-5节 南区电子学院大楼108,"曹文华,杨方,冯甫"
数论导论,202020212190341000101,1-17周 星期二 第6-8节 汇紫楼B209,"刘杭"
唐诗鉴赏,202020212010255000101,1-17周 星期二 第9-10节 汇文楼H1-203,"唐小华"
城市地理学,202020212100210000101,1-17周 星期五 第3-4节 汇紫楼C507,1-17周 星期五 第3-4节 汇紫楼C507,"陈义勇"
电子零售与消费者行为,202020212040799000101,1-18周 星期一 第9-10节 汇文楼H3-104,"郭海男"
谈判技巧,202020212040852000101,1-17周 星期三 第7-8节 汇文楼H3-302,"李慧"
谈判技巧,202020212040852000102,1-17周 星期三 第9-10节 汇文楼H1-503,"李慧"
中国建筑史,202020212100122000101,1-17周 星期三 3-5节 汇紫楼B207,"顾蓓蓓"
建筑设备,202020212090127000101,1-17周 星期一 第1-2节 致理楼L2-103,"陈彬"
国际人权法,202020212030054000101,1-17周 星期五 第11-12节 汇文楼H2-202,"李薇薇"
管理沟通 （国际班）,202020212041198000101,1-17周 星期三 第3-4节 汇文楼H2-301,1-17周 星期二 第1-2节 汇文楼H2-301,"程雨桥"
空间统计与分析,202020212100315000101,1-17周 星期一 第3-4节 汇紫楼C311,1-17周 星期一 第5-5节 汇紫楼C311,"涂伟"
微电子专业导引,202020212160221000101,1-9周 星期四 第7-8节 致理楼L1-207,"史伟伟"
实用电子电路设计,202020212160217000101,1-17周 星期五 第3-3节 南区电子学院大楼104,1-17周 星期五 第4-5节 南区电子学院大楼104,"贺威,吴国城"
实用电子电路设计,202020212160217000102,1-17周 星期二 第7-7节 南区电子学院大楼104,1-17周 星期二 第8-9节 南区电子学院大楼104,"贺威,吴国城"
数学教育测量与评价,202020212190337000101,1-17周 星期一 第9-10节 汇紫楼B206,1-17周 星期三 第7-8节 汇紫楼A207,"陈怡任"
城乡概论,202020212100482000101,1-17周 星期一 第11-12节 建筑楼C205,"李云"
空间数据库原理及应用,202020212100341000101,1-14周 星期一 第7-10节 致理楼L2-504,"李晓明"
中外城市建设史,202020212100123000101,1-17周 星期三 第7-8节 汇紫楼B313,"张艳"
摄影测量原理,202020212100199000501,1-17周 星期二 6-8节 汇紫楼A208,"王伟玺"
集合论入门,202020212010784000101,1-17周 星期四 第9-10节 汇文楼H2-202,"None"
当代西方伦理学,202020212011180000101,1-17周 星期二 第9-10节 汇文楼H2-304,"王帅"
中国哲学名著导读,202020212011189000101,1-17周 星期二 第13-14节 汇文楼H2-203,"李辰"
应激与心理危机干预,202020212240082000101,1-17周 星期一 第11-12节 致理楼L3-314,"唐苏勤"
发展社会学,202020212240110000101,1-17周 星期五 第11-13节 致理楼L1-301,"罗锐"
风景园林遗产保护与管理,202020212100244000101,1-9周 星期四 第7-8节 汇紫楼B209,"张柔然"
财务报表分析,202020212040793000101,1-17周 星期一 第7-8节 汇文楼H5-101,"黄燕婷"
财务报表分析,202020212040793000102,1-17周 星期一 第9-10节 汇文楼H5-101,"黄燕婷"
固体物理,202020212180078000101,1-17周 星期一 第3-5节 致理楼L3-306,"王斌,王健"
非营利组织管理,202020212040781000101,1-17周 星期四 第1-2节 汇文楼H1-105,"罗文恩"
建筑法规,202020212100039000201,1-9周 星期三 第11-12节 建筑楼C205,"张晖"
逻辑入门,202020212010574000101,1-17周 星期四 第11-12节 汇文楼H1-304,"臧勇"
大数据应用概论,202020212150335000101,1-17周 星期三 第3-4节 致理楼L1-602,"王熙照"
艺术与疗愈,202020212030199001001,1-17周 星期四 第9-10节 汇文楼H1-103,"李冰玉"
精算学导论,202020212190349000101,1-17周 星期一 第7-8节 汇紫楼B508,"李婧超"
社区概论,202020212240109000101,1-17周 星期五 第3-5节 致理楼L1-301,"罗锐"
中国古代文学（元明清文学）,202020212121139000201,1-17周 星期一 第3-4节 师院A304,"金春媛"
日语（1）（二外）,202020212070034000201,1-17周 星期一 第7-8节 汇文楼H2-403,1-17周 星期二 第7-8节 汇文楼H2-403,"黄秋生"
日语（1）（二外）,202020212070034000202,1-17周 星期一 第9-10节 汇文楼H2-403,1-17周 星期二 第9-10节 汇文楼H2-403,"黄秋生"
半导体器件物理,202020212160162000102,1-17周 星期三 第6-8节 致理楼L1-509,"廖武刚"
园林植物学,202020212100182000101,1-12周 星期一 第6-8节 汇紫楼C208,"刘瑞雪"
园林规划与设计,202020212060080000101,1-17周 星期三 第3-4节 汇文楼H3-304,"李存焕"
职业管理,202020212040845000101,1-17周 星期二 第1-2节 汇文楼H2-201,"王玉婷"
职业管理,202020212040845000102,1-17周 星期四 第1-2节 汇文楼H1-402,"王玉婷"
企业文化,202020212060062000101,1-17周 星期二 第7-8节 汇文楼H1-103,"李阳"
隧道工程,202020212090339000101,1-17周 星期五 第7-8节 致理楼L3-505,"付艳斌,陈湘生"
隧道工程,202020212090339000102,1-17周 星期五 第9-10节 致理楼L3-403,"付艳斌,陈湘生"
非寿险精算学,202020212190301000101,1-17周 星期五 第6-8节 汇紫楼B508,"李婧超"
宏观经济学（英文版）,202020212020115000102,None,"None"
电子科技专业基础实验,202020212160129000402,6-17周 星期四 第2-4节 未排地点,"余快,吴昌义,耿艳霞"
道路工程,202020212090370000101,1-17周 星期四 第7-8节 致理楼L2-105,"麦德荣,郭峻"
可编程ASIC设计,202020212160225000101,1-17周 星期一 第3-5节 南区电子学院大楼104,"刘春平"
生产与运作管理,202020212040292000201,1-18周 星期五 第6-8节 汇文楼H1-304,"林旭东"
素描2,202020212051022000101,16周 星期二 第3-5节 艺术学院L7-827,1-15周 星期二 第3-5节 艺术学院L7-827,1-15周 星期五 第7-10节 艺术学院L7-827,"FEDOROV ALEKSANDR"
计算智能,202020212150467000101,1-17周 星期五 第1-2节 致理楼L1-306,1-18周(单) 星期五 第3-4节 南区计算机大楼322,"朱泽轩"
先秦诸子学,202020212010320000101,1-17周 星期四 第13-14节 汇文楼H1-204,"冯骏豪"
岩体力学,202020212090352000101,1-17周 星期三 第1-2节 致理楼L2-103,"周韬,朱建波"
证据法,202020212030175000101,1-17周 星期一 第11-12节 汇文楼H2-201,"杨剑"
证据法,202020212030175000102,1-17周 星期三 第9-10节 汇文楼H2-204,"张丽霞"
国际人力资源管理,202020212040817000101,1-17周 星期四 第7-8节 汇文楼H1-105,"何发平"
国际人力资源管理,202020212040817000102,1-17周 星期四 第9-10节 汇文楼H1-105,"何发平"
智能运输系统,202020212090231000201,1-17周 星期二 第3-4节 致理楼L2-504,"周锐"
计算机网络(荣誉),2020202121500620002R01,9-16周 星期一 第13-14节 致理楼L1-306,"崔来中"
管理系统建模技术与应用 (国际班),202020212041191000101,1-17周 星期二 第6-8节 金工坊205,1-17周 星期四 第1-2节 金工坊205,"杨雯"
材料与建造实验,202020212100227000101,1-17周 星期一 第11-13节 建筑楼C301,"郭子怡,彭小松,夏珩"
工业设计基础,202020212280100000601,1-17周 星期四 第9-10节 南区信工学院N402,"周建华"
管理数据统计与分析,202020212040199000901,1-17周 星期三 第1-2节 汇文楼H6-401,"丁婉玲"
日语（3）（二外）,202020212070037000101,1-17周 星期二 第7-8节 汇文楼H2-404,1-17周 星期四 第7-8节 汇文楼H2-404,"王岗"
行政事务与公文写作,202020212060071000101,1-17周 星期二 第1-2节 汇文楼H3-103,"张晓春"
心理咨询与治疗,202020212030157000101,1-17周 星期一 第1-2节 致理楼L3-304,1-17周 星期三 第1-2节 致理楼L3-304,"高秋凤"
移动互联网应用,202020212150218000201,1-17周 星期四 第7-8节 致理楼L1-606,1-17周 星期四 第9-10节 南区计算机大楼418,"蔡树彬"
宗教社会学导论,202020212010570000201,1-17周 星期一 第11-12节 汇文楼H2-302,"邵铁峰"
金融营销学,202020212040749000101,1-17周 星期五 第7-8节 汇文楼H2-301,"杨翩翩"
个案工作,202020212240112000101,1-17周 星期一 1-2节 致理楼L3-404,"李晓凤"
道路工程,202020212090183000101,1-17周 星期四 第3-4节 致理楼L2-105,1-17周 星期五 第3-4节 致理楼L2-105,"麦德荣,郭峻"
古典诗词写作,202020212010776000101,1-17周 星期四 第11-12节 汇文楼H2-202,"张晓伟"
计算机视觉,202020212150465000101,1-17周 星期四 11-12节 南区计算机大楼241,1-18周(单) 星期四 13-14节 南区计算机大楼241,"沈琳琳,高灿"
图论,202020212150179000101,1-17周 星期三 第3-5节 致理楼L1-702,"None"
案例研究方法,202020212040774000101,1-9周 星期五 第3-4节 汇文楼H1-404,"肖棣文"
运筹学,202020212090228000101,1-17周 星期五 第3-5节 致理楼L2-411,"廖龙辉,邹亮"
营销思想史,202020212040798000101,1-17周 星期一 第11-12节 汇文楼H2-402,"傅浙铭"
营销思想史,202020212040798000102,1-17周 星期二 第11-12节 汇文楼H2-302,"傅浙铭"
企业社会工作,202020212030098000101,1-17周 星期三 第11-12节 致理楼L3-304,"李岩"
小波分析与应用,202020212190199002801,1-17周 星期二 第3-4节 汇紫楼A207,"冯纪强,徐晨"
媒体经营与管理,202020212080110000101,1-17周 星期三 第6-7节 传播学院L7-402,"辜晓进"
点集拓扑,202020212190027000101,1-17周 星期二 第3-4节 汇紫楼C309,1-18周(单) 星期五 第1-2节 汇紫楼C309,"徐希"
中国近代诗歌赏析,202020212010192002301,1-17周 星期三 第9-10节 汇文楼H2-202,"张晓伟"
跨文化管理（国际班）,202020212041201000101,1-17周 星期四 第6-8节 汇文楼H1-301,"文珊珊"
高尔夫球场环境保护,202020212060147000101,1-17周 星期四 第3-4节 汇文楼H1-203,"阳承胜"
小说名著与中国文化,202020212010687000101,1-17周 星期二 第11-12节 汇文楼H1-302,"赵建坤"
环境学概论,202020212090105000101,1-17周 星期二 第3-4节 致理楼L2-105,"段华波"
互联网平台的知识产权治理,202020212030199000901,1-17周 星期一 第3-4节 汇文楼H2-302,"黄炜杰"
